pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
4828204,3,2,1,1,16,3,16,0,0,1,6,6,4,4,4,4,4,4,21,8,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,1,1,1,1,2,1
8571610,2,1,1,1,6,2,6,0,0,1,4,4,4,4,1,1,1,1,4,4,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,1,0,0,0,0,0,0,1,2,3
3357238,3,1,1,1,6,2,1,3,2,1,0,0,4,4,0,0,1,1,0,4,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,1,1,2,1
9948684,3,2,2,1,10,4,10,0,0,1,8,8,0,0,1,1,0,0,12,0,1,2,2,1,1,2,2,9,9,1,1,9,9,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,11,0,0,1,0,0,1,1,2,1
4402144,3,1,1,1,25,5,25,0,0,1,0,0,16,16,0,0,2,2,0,12,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,1,0,1,1,2,2
3383966,3,1,1,1,11,5,11,0,0,1,0,0,15,15,0,0,1,1,0,15,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,1,0,0,1,1,2,3
5555434,1,1,1,1,7,4,7,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,2,0,0,0,1,0,2,1,2,1
9497369,2,1,1,1,5,3,5,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,1,0,0,0,0,0,0,1,2,3
1300525,2,1,1,1,7,3,7,0,0,1,2,2,2,2,1,1,1,1,8,2,1,2,2,1,2,2,1,9,9,1,9,9,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,4,0,0,1,1,2,2,1,2,1
6217590,3,1,1,1,22,8,22,0,0,1,20,20,0,0,1,1,0,0,15,0,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,29,14,0,0,1,3,2,3,1,2,1
