_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode
32,4891683,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,085-S Sangam Vihar-E,,,1,1,1,5,3,110080,2,1,3,0,2,4,0,0,0,0,0,1,2,2,216,1,47,0,0,0,0,0,
33,7075598,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,056-N Mangol Puri-C,,,1,3,1,5,3,110083,2,2,3,0,2,4,0,0,0,0,0,1,1,2,220,1,12,13,1,2,0,0,
43,1293888,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,061-N Haiderpur,,,7,1,6,10,1,110088,2,2,3,0,2,4,0,0,0,1,0,1,9,9,220,1,0,0,0,0,0,0,
45,3105152,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,076-N Sangam Park,,,3,3,1,12,1,110007,2,2,3,0,2,4,0,0,0,1,1,1,1,2,220,1,21,21,4,1,0,0,
46,4194507,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,003-E Trilokpuri-West,,,1,1,1,5,3,110091,2,2,3,0,2,4,19,0,0,0,0,1,2,2,217,1,1,0,37,0,0,0,
49,8566255,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,007-N Burari,,,5,1,6,12,1,110084,2,1,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0,
51,1434491,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,094-S Pul Pehladpur,,,1,2,1,5,3,110044,2,1,3,0,2,4,19,0,0,0,0,1,1,2,220,1,0,61,0,3,0,0,
54,4777357,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,016-N Sarai Pepal Thalla,,,3,2,1,12,1,110033,2,2,3,0,2,4,19,0,0,1,1,1,1,2,220,1,0,77,0,1,0,0,
55,8820640,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,SHASTRI PARK,,,3,3,1,12,1,110031,2,1,3,0,2,4,19,0,0,1,1,1,1,2,220,1,15,22,0,0,0,0,
56,9659602,DELHI,WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,098-N West Patel Nagar,,,5,1,6,12,1,110008,2,2,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0,
59,2353462,DELHI,WEST B,2,North Delhi Municipal Corporation-Municipal Corporations,038-N Nilothi,,,1,2,1,5,3,110041,2,2,3,0,2,4,0,0,0,0,0,1,1,2,219,1,0,62,0,3,0,0,
60,2235372,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,035-E Dilshad Garden,,,1,2,1,5,3,110093,2,2,3,0,2,4,19,0,0,0,0,1,1,2,222,1,0,41,0,0,0,0,
61,8329969,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,090-S Kalkaji,,,1,3,1,5,3,110019,2,2,3,0,2,4,19,0,0,0,0,1,1,2,217,1,11,16,0,0,0,0,
62,8217271,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,043-E Gautam Puri,,,1,2,1,5,3,110053,2,1,3,0,2,4,19,0,0,0,0,1,1,2,224,1,0,10,0,1,0,0,
63,9465237,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,001-N Narela,,,1,1,1,5,3,110040,2,2,3,0,2,4,0,0,0,0,0,1,2,2,224,1,0,0,18,0,0,0,
68,2644348,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,061-E Karawal Nagar-West,,,5,1,6,12,1,110094,2,1,3,0,2,4,19,0,0,1,1,1,9,9,232,1,0,0,0,0,0,0,
69,9955530,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,047-N Sultan Puri-B,,,3,1,1,12,1,110086,2,1,3,0,2,4,19,0,0,1,1,1,1,2,220,1,65,0,7,0,0,0,
74,3002681,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,037-E Ram Nagar,,,3,2,1,12,1,110032,2,1,3,0,2,4,19,0,0,1,1,1,1,2,220,1,0,24,0,0,0,0,
77,3550578,DELHI,WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,RAMESH NAGAR,,,1,2,1,5,3,110015,2,2,3,0,2,4,19,0,0,0,0,1,1,2,225,1,0,22,0,0,0,0,
80,2847791,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,003-N Alipur,,,1,2,1,5,3,110040,2,2,3,0,2,4,0,0,0,0,0,1,1,2,220,1,0,23,0,1,0,22,
81,2228943,DELHI,SOUTH WEST B-II,2,South Delhi Municipal Corporation-Municipal Corporations,045-S Isapur,,,1,2,1,5,3,110073,2,2,3,0,2,4,0,0,0,0,0,1,1,2,210,1,0,17,0,0,0,0,
82,1830406,DELHI,WEST A,2,South Delhi Municipal Corporation-Municipal Corporations,007-S Vishnu Garden,,,1,3,1,5,3,110018,2,2,3,0,2,4,19,0,0,0,0,1,1,2,220,1,7,12,0,0,0,0,
83,3013262,DELHI,SOUTH WEST A,2,South Delhi Municipal Corporation-Municipal Corporations,066-S Munirka,,,1,3,1,5,3,110066,2,2,3,0,2,4,19,0,0,0,0,1,1,2,226,1,36,20,0,0,0,0,
84,7603019,DELHI,WEST B,2,South Delhi Municipal Corporation-Municipal Corporations,025-S Mohan Garden-South,,,1,3,1,5,3,110059,2,2,3,0,2,4,19,0,0,0,0,1,1,2,222,1,19,11,0,0,0,0,
85,1219421,DELHI,SOUTH WEST B-II,2,South Delhi Municipal Corporation-Municipal Corporations,043-S Najafgarh,,,1,1,1,5,3,110043,2,1,3,0,2,4,0,0,0,0,0,1,2,2,226,1,0,0,0,0,0,0,
86,4735147,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,058-E Mustafabad,,,1,2,1,5,3,110094,2,1,3,0,2,4,19,0,0,0,0,1,2,2,220,1,0,0,0,0,0,0,
87,3782932,DELHI,WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,099-N Karampura,,,1,3,1,5,3,110015,2,2,3,0,2,4,19,0,0,0,0,1,1,2,220,1,22,17,22,23,0,0,
90,3974761,DELHI,WEST A,2,South Delhi Municipal Corporation-Municipal Corporations,013-S Tilak Nagar,,,1,3,1,5,3,110018,2,2,3,0,2,4,19,0,0,0,0,1,1,2,228,1,32,25,1,1,0,0,
96,3055880,DELHI,SOUTH EAST,2,,,,,2,3,1,8,1,110044,2,2,3,0,2,4,19,0,0,0,0,1,2,1,221,1,0,0,0,0,0,0,
99,7885351,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,021-E Krishna Nagar,,,3,1,1,12,1,110051,2,1,3,0,2,19,4,0,0,1,1,1,2,2,225,1,0,0,0,0,0,0,
100,7812522,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,103-S Madanpur Khadar,,,5,2,6,12,1,110076,2,1,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0,
103,1315695,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,019-N Sarup Nagar,,,5,1,6,12,1,110042,2,2,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0,
106,7144541,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,054-E Saboli,,,7,1,6,10,1,110094,2,1,3,0,2,4,19,0,0,1,0,1,9,9,219,1,0,0,0,0,0,0,
112,7636916,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,090-S Kalkaji,,,3,3,1,12,1,110019,2,2,3,0,2,4,19,0,0,1,1,1,1,1,220,1,27,46,1,0,0,0,
113,6479793,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,006-E Gharoli,,,5,1,6,12,1,110096,2,2,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0,
114,2323039,DELHI,WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,096-N Ranjit Nagar,,,3,3,1,12,1,110008,2,2,3,0,2,4,19,0,0,1,1,1,1,2,235,1,34,37,0,0,0,0,
115,8257633,DELHI,NORTH WEST B-II,2,North Delhi Municipal Corporation-Municipal Corporations,025-N Rohini-B,,,5,1,6,12,1,110085,2,2,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0,
117,1322953,DELHI,SOUTH WEST B-I,2,South Delhi Municipal Corporation-Municipal Corporations,051-S Madhu Vihar,,,1,1,1,5,3,110059,2,1,3,0,2,4,19,0,0,0,0,1,2,2,212,1,0,0,15,0,0,0,
118,6771004,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,095-S Badarpur,,,1,1,1,5,3,110044,2,1,3,0,2,4,19,0,0,0,0,1,2,2,223,1,0,0,21,0,0,0,
119,3769457,DELHI,SOUTH,2,South Delhi Municipal Corporation-Municipal Corporations,062-S Hauz Khas,,,1,3,1,5,3,110016,2,2,3,0,2,19,0,0,0,0,0,1,1,2,210,1,7,16,1,0,0,0,
124,3408921,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,009-N Kamal Pur,,,1,2,1,5,3,110084,2,2,3,0,2,4,19,0,0,0,0,1,1,2,225,1,0,36,0,1,0,0,
125,4846436,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,022-E Anarkali,,,1,1,1,5,3,110051,2,2,3,0,2,4,19,0,0,0,0,1,2,2,222,1,0,0,20,0,0,0,
126,3489281,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,087-S Chitaranjan Park,,,1,2,1,5,3,110019,2,1,3,0,2,4,0,0,0,0,0,1,1,2,220,1,0,3,0,0,0,0,
133,8534684,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,020-N Swami Sharda Nand Colony,,,7,3,6,10,1,110042,2,2,3,0,2,4,19,0,0,1,0,1,9,9,220,1,0,0,0,0,0,0,
134,3738203,DELHI,NEW DELHI,2,New Delhi Municipal Council-NCT Municipal Council,ward-1,,,3,3,1,12,1,110003,2,2,3,0,2,4,19,0,0,1,1,1,1,2,220,1,8,14,0,1,0,0,
135,2195663,DELHI,WEST B,2,South Delhi Municipal Corporation-Municipal Corporations,029-S Bindapur,,,5,1,6,12,1,110059,2,1,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0,
136,7907844,DELHI,WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,099-N Karampura,,,3,3,1,12,1,110015,2,2,3,0,2,19,4,0,0,1,1,1,1,2,220,1,6,9,1,0,0,0,
