_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
5109,4839098,DELHI,SOUTH WEST B-II,2,South Delhi Municipal Corporation-Municipal Corporations,034-S Nangli Sakrawati,,,3,3,1,12,5,110071,2,2,3,0,1,19,0,0,0,1,1,1,1,9,222,1,0,0,27,14,0,0
5110,9220036,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,017-E Vishwas Nagar,,,3,3,1,12,5,110092,2,2,3,0,2,19,0,0,0,1,1,1,1,9,222,1,65,55,0,0,0,0
5111,6102687,DELHI,NORTH WEST B-II,2,North Delhi Municipal Corporation-Municipal Corporations,025-N Rohini-B,,,3,3,1,12,5,110085,2,2,3,0,2,19,0,0,0,1,1,1,1,9,227,1,40,35,4,2,0,0
5112,4549841,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,021-E Krishna Nagar,,,3,2,1,12,5,110031,2,2,3,0,2,19,0,0,0,1,1,1,1,9,220,1,0,94,0,8,0,1
5113,1912417,DELHI,WEST A,2,South Delhi Municipal Corporation-Municipal Corporations,011-S Pratap Nagar,,,3,3,1,12,1,110064,2,2,3,0,2,4,19,0,0,1,1,1,1,2,222,1,29,29,2,3,2,3
5114,8162697,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,048-N Sultan Puri-C,,,1,2,1,5,3,110086,2,1,3,0,2,4,0,0,0,0,0,1,1,2,220,1,0,57,0,0,0,0
5115,7678962,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,095-S Badarpur,,,1,2,1,5,3,110076,2,2,3,0,2,4,19,0,0,0,0,1,1,2,220,1,0,53,0,0,0,0
5116,9715358,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,069-N Shakur Pur,,,1,3,1,5,3,110034,2,2,3,0,2,4,0,0,0,0,0,1,1,2,213,1,18,15,13,6,0,0
5117,3895917,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,012-N Timarpur,,,1,2,1,5,3,110084,2,1,3,0,2,4,0,0,0,0,0,1,1,2,220,1,0,38,0,1,0,1
5118,9696652,DELHI,CENTRAL,2,North Delhi Municipal Corporation-Municipal Corporations,091-N Ram Nagar,,,1,2,1,5,3,110055,2,1,3,0,2,4,19,0,0,0,0,1,1,2,220,1,0,31,0,0,0,0
